,City,Country,Date,Humidity,Cloudiness,Lat,Long,Temp,WindSpeed
0,St. George's,GD,1626042307,89,75,12.0564,-61.7485,78.48,17.27
1,Pangody,RU,1626042308,66,71,65.85,74.4859,46.8,11.21
2,Teyateyaneng,LS,1626042308,38,1,-29.1472,27.7489,44.83,5.82
3,Ushuaia,AR,1626042224,86,40,-54.8,-68.3,33.46,8.05
4,Atuona,PF,1626042109,80,46,-9.8,-139.0333,77.23,25.08
5,Dunedin,NZ,1626042309,70,89,-45.8742,170.5036,42.42,7.18
6,Posse,BR,1626042274,32,43,-14.0931,-46.3694,69.33,2.93
7,Rikitea,PF,1626042309,82,48,-23.1203,-134.9692,73.71,21.72
8,Tuktoyaktuk,CA,1626042310,87,90,69.4541,-133.0374,48.2,20.71
9,Hithadhoo,MV,1626042308,71,49,-0.6,73.0833,81.19,2.21
10,Khatanga,RU,1626042254,46,90,71.9667,102.5,48.87,7.47
11,Cherskiy,RU,1626042311,35,7,68.75,161.3,80.58,25.14
12,Avarua,CK,1626042311,74,75,-21.2078,-159.775,80.65,11.5
13,Saint-Philippe,RE,1626042311,77,59,-21.3585,55.7679,67.55,11.21
14,Alofi,NU,1626042312,83,7,-19.0595,-169.9187,80.49,10.36
15,Chui,UY,1626042312,70,0,-33.6971,-53.4616,48.33,5.68
16,Lüderitz,NA,1626042313,83,12,-26.6481,15.1594,54.45,4.99
17,San Fernando del Valle de Catamarca,AR,1626042313,62,79,-28.4696,-65.7852,64.58,6.35
18,El Puerto de Santa María,ES,1626042313,89,20,36.5939,-6.233,80.62,8.05
19,Port,CD,1626042314,47,1,-7.0349,29.7638,69.17,6.38
20,Kapaa,US,1626042314,74,40,22.0752,-159.319,84.52,4.0
21,Savé,BJ,1626042315,92,88,8.0425,2.486,73.65,4.79
22,New,LR,1626042315,93,98,6.6518,-10.5932,76.23,2.62
23,Port,CD,1626042316,47,1,-7.0349,29.7638,69.17,6.38
24,Katsuura,JP,1626042316,86,65,35.1333,140.3,78.19,3.04
25,Punta,PH,1626042317,90,65,8.9897,125.34,76.26,4.72
26,Hermanus,ZA,1626042317,68,55,-34.4187,19.2345,53.91,9.28
27,Qaanaaq,GL,1626042318,66,49,77.484,-69.3632,38.95,2.66
28,Aklavik,CA,1626042318,68,100,68.2191,-135.0107,63.32,22.66
29,Nemuro,JP,1626042319,97,100,43.3236,145.575,58.68,8.25
30,Derzhavīnsk,KZ,1626042319,96,5,51.1,66.3167,60.33,14.27
31,Ponta,PT,1626042320,72,100,38.7333,-28.2667,62.28,15.19
32,Laurel,US,1626042320,71,1,39.0993,-76.8483,91.26,4.0
33,Tricase,IT,1626042321,62,0,39.9304,18.3553,75.31,7.36
34,Bredasdorp,ZA,1626042321,81,42,-34.5322,20.0403,45.72,8.05
35,Samarai,PG,1626042322,85,72,-10.6167,150.6667,79.5,13.13
36,Hastings,GB,1626042322,91,100,50.8552,0.5729,61.32,3.89
37,Castro,BR,1626042323,75,14,-24.7911,-50.0119,54.19,2.98
38,Cape,CL,1626042323,73,64,-36.413,-71.9028,47.62,4.0
39,Yumen,CN,1626042323,39,0,40.2833,97.2,72.34,5.3
40,Fairbanks,US,1626042324,37,40,64.8378,-147.7164,71.6,1.01
41,East,IS,1626042324,68,13,65.0,-15.0,49.75,7.14
42,Nuuk,GL,1626042325,76,98,64.1835,-51.7216,47.88,8.01
43,Santa,PH,1626042325,86,99,17.486,120.4348,78.84,3.87
44,Cabo,BR,1626042326,88,8,-8.2833,-35.0333,71.53,6.04
45,Kyabé,TD,1626042326,88,100,9.4515,18.9449,72.7,2.64
46,Nadym,RU,1626042327,79,92,65.5333,72.5167,48.52,10.45
47,Pisco,PE,1626042327,82,20,-13.7,-76.2167,64.02,6.91
48,Vigrestad,NO,1626042328,80,42,58.5667,5.7,57.81,4.61
49,Saint-Augustin,CA,1626042328,89,100,51.226,-58.6502,58.28,3.24
50,Jiuquan,CN,1626042328,29,1,39.7432,98.5174,74.25,3.56
51,Ribeira,ES,1626042329,78,75,42.7461,-8.4439,63.0,3.44
52,Riohacha,CO,1626042329,63,100,11.5444,-72.9072,85.82,14.2
53,Nālūt,LY,1626042329,26,0,30.3333,10.85,81.9,14.61
54,Mar,ES,1626042330,96,75,43.4002,-4.0094,66.85,4.0
55,Catabola,AO,1626042330,31,0,-12.15,17.2833,54.61,3.18
56,Tuatapere,NZ,1626042331,87,97,-46.1333,167.6833,40.39,4.41
57,Sobolevo,RU,1626042331,75,76,54.4299,31.8996,69.37,5.75
58,Taltal,CL,1626042332,80,63,-25.4,-70.4833,58.19,1.7
59,Jamestown,US,1626042230,97,90,42.097,-79.2353,69.39,7.0
60,Longyearbyen,SJ,1626042332,87,75,78.2186,15.6401,39.04,13.8
61,Butaritari,KI,1626042333,75,88,3.0707,172.7902,82.31,11.99
62,Hobart,AU,1626042333,90,75,-42.8794,147.3294,41.27,3.0
63,Lebu,CL,1626042334,74,12,-37.6167,-73.65,49.35,14.09
64,Cidreira,BR,1626042334,90,0,-30.1811,-50.2056,60.3,6.08
65,Bambous,MU,1626042335,70,26,-20.2567,57.4061,69.13,10.98
66,Aden,YE,1626042335,72,91,12.7794,45.0367,86.14,2.8
67,Porto,PT,1626042205,84,20,41.1496,-8.611,63.28,3.0
68,San,ML,1626042336,63,93,13.3034,-4.8956,82.09,5.14
69,Mys,RU,1626042336,74,25,62.0589,48.6201,58.69,5.35
70,Black,US,1626042337,56,71,31.0093,-85.7444,87.98,11.86
71,Hasaki,JP,1626042330,84,66,35.7333,140.8333,75.6,5.73
72,Markivka,UA,1626042337,87,21,49.5229,39.5705,68.88,6.49
73,Bluff,NZ,1626042338,83,100,-46.6,168.3333,43.84,15.41
74,Arraial,BR,1626042338,52,0,-22.8362,-46.646,71.01,3.94
75,Mahon,ES,1626042339,94,0,39.8885,4.2658,75.76,11.5
76,Faya,SA,1626042339,48,88,18.3851,42.4509,71.71,3.96
77,Makkah al Mukarramah,SA,1626042339,19,28,21.4267,39.8261,92.28,7.78
78,Cayenne,GF,1626042340,90,90,4.9333,-52.3333,77.09,1.01
79,Bilibino,RU,1626042340,40,9,68.0546,166.4372,82.42,15.73
80,Airai,TL,1626042341,55,99,-8.9266,125.4092,55.18,4.21
81,Yagodnoye,RU,1626042341,59,66,62.55,149.6667,64.26,10.47
82,Cap-aux-Meules,CA,1626042061,77,75,47.3821,-61.8597,66.25,4.61
83,Yellowknife,CA,1626042342,36,75,62.456,-114.3525,77.52,1.99
84,Jerez,GT,1626042342,75,97,14.1,-89.75,76.17,3.71
85,Busselton,AU,1626042343,93,100,-33.65,115.3333,55.04,22.28
86,Teya,RU,1626042343,98,97,60.3778,92.6267,56.82,4.18
87,Vad,RU,1626042343,71,0,55.5301,44.2114,57.79,3.67
88,Itoman,JP,1626042344,86,75,26.1247,127.6694,84.22,4.61
89,Ahipara,NZ,1626042344,91,100,-35.1667,173.1667,53.55,22.24
90,Tonj,SS,1626042345,97,100,7.2737,28.6822,70.57,5.55
91,Point,ZA,1626042345,88,1,-29.8647,31.0413,61.05,3.0
92,Vardø,NO,1626042067,80,22,70.3705,31.1107,48.4,14.07
93,Kirillov,RU,1626042346,65,6,59.863,38.3813,63.72,5.12
94,Yichang,CN,1626042346,93,99,30.7144,111.2847,77.79,2.48
95,Albany,US,1626042319,93,100,42.6001,-73.9662,69.03,4.56
96,Chik,RU,1626042347,94,0,54.9928,82.4311,56.17,0.0
97,Leticia,CO,1626042347,89,75,-4.2153,-69.9406,78.85,2.3
98,Kruisfontein,ZA,1626042347,55,0,-34.0033,24.7314,48.13,3.27
99,Sao,IN,1626042348,88,99,20.5113,76.2129,75.76,3.47
100,Portobelo,PA,1626042348,84,94,9.55,-79.65,83.05,9.22
101,Geraldton,AU,1626042107,94,90,-28.7667,114.6,61.21,20.71
102,Saldanha,ZA,1626042349,89,3,-33.0117,17.9442,48.25,10.67
103,Hualmay,PE,1626042349,76,37,-11.0964,-77.6139,65.98,6.6
104,Tessalit,ML,1626042261,21,39,20.1986,1.0114,97.2,10.89
105,Tupã,BR,1626042350,38,0,-21.9347,-50.5136,67.66,4.34
106,Sørland,NO,1626042350,97,100,67.667,12.6934,56.12,21.23
107,Araceli,PH,1626042350,72,16,10.5529,119.9913,83.01,2.3
108,Sept-Îles,CA,1626042197,85,75,50.2001,-66.3821,64.26,1.99
109,Mataura,NZ,1626042108,88,100,-46.1927,168.8643,36.84,2.62
110,Pevek,RU,1626042351,75,22,69.7008,170.3133,55.11,16.78
111,George Town,MY,1626042196,96,40,5.4112,100.3354,75.13,0.0
112,Lincoln,US,1626042111,47,1,40.8,-96.667,82.31,8.01
113,Caravelas,BR,1626042352,83,0,-17.7125,-39.2481,69.55,6.13
114,Dromolaxia,CY,1626042352,89,0,34.8761,33.586,78.67,2.3
115,Shōbara,JP,1626042353,99,100,34.85,133.0167,76.05,1.54
116,Mamakan,RU,1626042353,91,100,57.8161,114.0028,59.5,1.03
117,Apastovo,RU,1626042354,71,0,55.2029,48.5109,55.71,6.69
118,Barrow,US,1626042302,73,90,71.2906,-156.7887,33.82,10.36
119,Bay,US,1626042354,78,100,43.7334,-84.0166,75.15,13.69
120,Tiksi,RU,1626042355,63,3,71.6872,128.8694,39.2,6.89
121,Baykit,RU,1626042355,91,97,61.67,96.37,58.3,2.26
122,Kargil,IN,1626042355,61,0,34.5667,76.1,59.27,6.93
123,Prozor,BA,1626042222,85,51,43.8222,17.6092,65.5,0.87
124,Grand,US,1626042207,7,0,38.8755,-109.5012,102.6,1.45
125,Broome,US,1626042356,89,100,42.2506,-75.833,67.19,1.01
126,Miramar,US,1626042357,70,75,25.9873,-80.2323,89.01,13.8
127,Morehead,US,1626042357,80,40,37.2711,-87.1764,82.11,1.99
128,Ondjiva,AO,1626042358,29,0,-17.0667,15.7333,55.94,2.24
129,Ugoofaaru,MV,1626042345,80,100,5.6667,73.0,81.79,16.62
130,Tegul'det,RU,1626042358,97,92,57.3064,88.1667,54.1,3.38
131,Marrakesh,MA,1626042359,38,40,31.6315,-8.0083,91.47,4.61
132,San,ML,1626042336,63,93,13.3034,-4.8956,82.09,5.14
133,Āsosa,ET,1626042359,80,76,10.0667,34.5333,61.21,3.38
134,Ranong,TH,1626042360,87,98,9.9658,98.6348,77.99,7.34
135,Ancud,CL,1626042361,91,100,-41.8697,-73.8203,46.22,3.6
136,Filingué,NE,1626042361,42,15,14.3521,3.3168,91.81,6.55
137,Hilo,US,1626042337,72,75,19.7297,-155.09,79.79,5.75
138,Mahébourg,MU,1626042362,78,75,-20.4081,57.7,70.25,14.97
139,Cuamba,MZ,1626042362,74,38,-14.8031,36.5372,64.15,2.04
140,Zuwārah,LY,1626042363,79,0,32.9312,12.082,75.02,2.17
141,Fonte Alto,IT,1626042363,79,0,45.7839,11.8746,75.94,6.91
142,Bara,NG,1626042363,68,71,10.3744,10.7288,79.23,8.43
143,Harper,LR,1626042364,79,28,4.375,-7.7169,76.28,8.84
144,El Puerto de Santa María,ES,1626042364,89,20,36.5939,-6.233,79.61,8.05
145,Linhai,CN,1626042365,76,100,28.85,121.1167,80.92,2.73
146,Shyroke,UA,1626042365,52,48,47.6917,33.2571,70.84,7.49
147,Crestview,US,1626042366,82,1,30.7621,-86.5705,85.33,5.75
148,Saint Paul Harbor,US,1626042366,82,90,57.79,-152.4072,51.31,14.97
149,Waingapu,ID,1626042367,86,92,-9.6567,120.2641,73.44,8.32
150,Halifax,CA,1626042182,80,99,44.6453,-63.5724,76.41,1.99
151,Alekseyevsk,RU,1626042367,95,100,57.8406,108.3492,57.65,1.19
152,Praia,CV,1626042368,73,20,14.9215,-23.5087,73.94,11.5
153,Esim,GH,1626042368,81,32,4.8699,-2.2405,75.9,7.07
154,Dicabisagan,PH,1626042363,86,100,17.0818,122.4157,79.99,0.85
155,Sao,IN,1626042369,88,99,20.5113,76.2129,75.76,3.47
156,Øksfjord,NO,1626042369,74,98,70.2396,22.3479,68.07,4.81
157,Klaksvík,FO,1626042369,97,100,62.2266,-6.589,50.92,2.93
158,Thompson,CA,1626042109,83,75,55.7435,-97.8558,68.16,3.44
159,Rundu,NA,1626042370,37,0,-17.9333,19.7667,54.14,3.67
160,Petropavlovsk-Kamchatskiy,RU,1626042370,59,0,53.0452,158.6483,64.99,4.47
161,Phuthaditjhaba,ZA,1626042371,40,2,-28.5242,28.8158,45.32,5.21
162,Sao,IN,1626042371,88,99,20.5113,76.2129,75.76,3.47
163,Machalí,CL,1626042372,62,40,-34.1833,-70.6667,51.08,3.44
164,Vaini,TO,1626042372,89,20,-21.2,-175.2,78.96,9.22
165,Seoul,KR,1626042137,88,75,37.5683,126.9778,76.57,5.75
166,Fatezh,RU,1626042372,87,21,52.0891,35.8632,67.98,7.38
167,Salalah,OM,1626042373,89,90,17.0151,54.0924,80.69,6.91
168,Myitkyina,MM,1626042373,98,61,25.3833,97.4,74.55,1.9
169,Sur,OM,1626042374,61,59,22.5667,59.5289,89.08,4.7
170,Kargasok,RU,1626042374,80,99,59.0556,80.8572,51.48,4.05
171,Lensk,RU,1626042374,61,91,60.7253,114.9278,61.56,0.25
172,La Santisima Trinidad,BO,1626042375,65,2,-14.8333,-64.9,84.18,0.0
173,Vilcún,CL,1626042377,94,20,-38.65,-72.2333,43.54,1.79
174,Bānda,IN,1626042377,64,100,25.4833,80.3333,87.6,12.26
175,Poum,NC,1626042378,65,94,-20.2333,164.0167,71.26,16.87
176,El Puerto de Santa María,ES,1626042364,89,20,36.5939,-6.233,79.61,8.05
177,Manzanillo,CU,1626042378,70,94,20.3433,-77.1167,83.71,4.18
178,Višegrad,BA,1626042379,97,56,43.7847,19.2992,73.0,2.04
179,Hambantota,LK,1626042379,80,94,6.1241,81.1185,79.32,20.67
180,Mukhen,RU,1626042380,94,99,48.1,136.1,70.84,4.56
181,Rio,GR,1626042380,59,0,38.3,21.7833,77.85,2.48
182,Uribia,CO,1626042381,46,100,11.7139,-72.266,90.05,14.81
183,Pedernales,DO,1626042381,55,23,18.0384,-71.744,87.37,2.73
184,Ajdabiya,LY,1626042382,66,0,30.7554,20.2263,79.66,13.73
185,Chokurdakh,RU,1626042382,81,100,70.6333,147.9167,40.42,16.2
186,Ust-Kuyga,RU,1626042382,66,100,70.0167,135.6,41.59,8.05
187,Scarborough,GB,1626042383,87,100,54.2797,-0.4044,61.92,7.0
188,Korostyshiv,UA,1626042383,72,46,50.3172,29.0563,68.97,4.16
189,Port,CD,1626042314,47,1,-7.0349,29.7638,69.17,6.38
190,Severo-Kuril'sk,RU,1626042384,92,100,50.6789,156.125,53.56,7.05
191,Anadyr,RU,1626042384,72,0,64.75,177.4833,59.5,4.0
192,Dikson,RU,1626042384,99,100,73.5069,80.5464,33.6,15.37
193,Bathsheba,BB,1626042195,89,75,13.2167,-59.5167,79.41,24.16
194,Hervey,US,1626042385,55,67,33.4982,-93.7771,90.05,9.57
195,Mount,GB,1626042386,88,100,53.6597,-1.8537,62.26,2.68
196,Port,CD,1626042316,47,1,-7.0349,29.7638,69.17,6.38
197,Mount Abu,IN,1626042386,79,100,24.6,72.7,72.09,3.96
198,Ayan,RU,1626042387,91,98,56.45,138.1667,56.07,1.14
199,Buala,SB,1626042387,72,86,-8.145,159.5921,83.3,7.96
200,Osinki,RU,1626042387,63,0,52.8432,49.5132,57.7,8.16
201,Nikolskoye,RU,1626042388,85,1,59.7035,30.7861,70.79,4.38
202,Branford,US,1626042377,85,90,41.2795,-72.8151,77.22,1.99
203,Gweru,ZW,1626042389,51,0,-19.45,29.8167,49.96,4.92
204,Homer,US,1626042136,63,90,59.6425,-151.5483,63.09,6.91
205,Palu,ID,1626042389,91,100,-0.8917,119.8707,74.23,2.42
206,Namwala,ZM,1626042390,56,1,-15.7504,26.4384,56.48,4.18
207,Neuquén,AR,1626042093,34,0,-38.9516,-68.0591,48.09,5.75
208,Pergamino,AR,1626042391,29,93,-33.89,-60.5736,56.52,7.49
209,Ilulissat,GL,1626042391,57,67,69.2167,-51.1,48.22,6.91
210,Bria,CF,1626042392,97,100,6.5423,21.9863,68.59,2.04
211,Iqaluit,CA,1626042392,47,40,63.7506,-68.5145,58.73,4.61
212,Valparaíso,CL,1626042392,80,90,-33.0393,-71.6273,53.47,8.05
213,Porto-Vecchio,FR,1626042393,82,0,41.591,9.2795,72.93,2.3
214,Tupik,RU,1626042393,71,82,54.4253,119.9327,57.18,1.92
215,Tilichiki,RU,1626042394,46,16,60.4667,166.1,63.93,4.23
216,Carnarvon,AU,1626042394,87,75,-24.8667,113.6333,66.27,13.8
217,Siniscola,IT,1626042394,59,0,40.5719,9.6922,72.95,3.36
218,Mount Abu,IN,1626042395,79,100,24.6,72.7,72.09,3.96
219,Tasiilaq,GL,1626042396,99,100,65.6145,-37.6368,44.76,9.46
220,Nanortalik,GL,1626042351,99,100,60.1432,-45.2371,41.41,2.8
221,Manuk,ID,1626042396,93,13,-7.903,111.5033,72.57,2.04
222,Maniitsoq,GL,1626042397,73,36,65.4167,-52.9,45.03,2.57
223,San,ML,1626042336,63,93,13.3034,-4.8956,82.09,5.14
224,Desa,RO,1626042397,60,85,43.8667,23.0333,67.59,7.4
225,Kattivākkam,IN,1626042398,72,100,13.2167,80.3167,82.49,16.42
226,Bull,LR,1626042398,94,75,6.1992,-10.2829,76.71,0.0
227,Viedma,AR,1626042399,47,0,-40.8135,-62.9967,50.52,8.97
228,Mahenge,TZ,1626042399,65,65,-8.6833,36.7167,60.76,2.68
229,Beloha,MG,1626042399,90,0,-25.1667,45.05,62.92,4.94
230,Akropong,GH,1626042400,78,14,5.9746,-0.0854,72.55,5.73
231,Kavieng,PG,1626042400,79,88,-2.5744,150.7967,81.88,12.97
232,Tokur,RU,1626042401,92,90,53.1333,132.9,63.59,2.44
233,Sitka,US,1626041958,59,40,57.0531,-135.33,60.69,14.97
234,Egvekinot,RU,1626042402,73,65,66.3167,-179.1667,52.57,5.66
235,Vestmannaeyjar,IS,1626042402,89,10,63.4427,-20.2734,53.2,8.81
236,Madimba,TZ,1626042403,92,9,-10.4,40.3333,70.5,8.88
237,Karema,TZ,1626042403,45,2,-6.8205,30.4389,67.41,4.07
238,Codrington,AU,1626042335,58,55,-38.2667,141.9667,48.7,19.48
239,Areia,BR,1626042403,82,2,-6.9633,-35.6917,72.99,8.25
240,Norman,US,1626042203,56,40,35.2226,-97.4395,84.09,11.5
241,Pokhara,NP,1626042404,87,100,28.2333,83.9833,72.05,2.62
242,Evensk,RU,1626042404,91,100,61.95,159.2333,52.84,6.33
243,Mehamn,NO,1626042344,81,6,71.0357,27.8492,48.74,9.89
244,Souillac,MU,1626042381,78,75,-20.5167,57.5167,70.36,14.97
245,Bintulu,MY,1626042405,100,40,3.1667,113.0333,77.41,2.3
246,Saskylakh,RU,1626042406,46,39,71.9167,114.0833,46.44,14.36
247,Acarí,PE,1626042406,60,75,-15.4311,-74.6158,69.37,3.78
248,Sivas Province,TR,1626042406,100,0,39.7916,37.0019,56.03,4.61
249,Lodja,CD,1626042407,35,100,-3.4833,23.4333,69.28,2.21
250,Morristown,US,1626042375,61,49,36.214,-83.2949,87.06,5.01
251,Merauke,ID,1626042306,89,87,-8.4667,140.3333,77.45,12.62
252,Lagan,RU,1626042408,47,16,45.3929,47.3707,78.48,8.48
253,Narsaq,GL,1626042407,99,100,60.9167,-46.05,46.62,5.66
254,Torbay,CA,1626042261,93,75,47.6666,-52.7314,62.49,3.44
255,Guane,CU,1626042409,55,82,22.2025,-84.0875,87.35,11.68
256,Takoradze,GH,1626042409,82,31,4.8845,-1.7554,75.61,8.1
257,Izumo,JP,1626042410,94,75,35.3667,132.7667,73.29,5.75
258,Labuhan,ID,1626042410,87,5,-6.8844,112.2051,76.37,8.41
259,Rawson,AR,1626042410,49,100,-43.3002,-65.1023,51.58,8.7
260,Hanzhong,CN,1626042411,94,85,33.0728,107.0303,70.74,0.83
261,Poltavka,RU,1626042411,54,89,54.3663,71.7632,67.32,8.14
262,Kahului,US,1626042225,64,20,20.8947,-156.47,83.46,23.02
263,Lichinga,MZ,1626042412,90,7,-13.3128,35.2406,52.63,5.32
264,Moose,US,1626042412,25,1,43.6558,-110.7183,84.88,4.61
265,Grindavik,IS,1626042413,94,90,63.8424,-22.4338,55.56,13.8
266,Lorengau,PG,1626042413,79,98,-2.0226,147.2712,82.42,7.76
267,Mayya,RU,1626042414,62,3,61.7333,130.2811,54.72,5.68
268,Vetluzhskiy,RU,1626042414,75,2,58.3902,45.4654,56.03,3.36
269,Selkirk,CA,1626042415,31,15,50.1436,-96.8845,96.08,5.99
270,Westport,US,1626042252,85,75,41.1415,-73.3579,80.02,1.01
271,Fairfield,US,1626042350,84,90,41.2668,-73.3162,77.65,8.05
272,Dossor,KZ,1626042415,48,21,47.5272,52.9811,79.14,8.1
273,Poddor'ye,RU,1626042416,72,90,57.4695,31.1156,72.91,1.39
274,Guerrero,MX,1626042416,64,75,17.6667,-100.0,78.37,3.56
275,Almaznyy,RU,1626042417,74,10,48.0448,40.045,68.14,7.45
276,Sinazongwe,ZM,1626042417,49,0,-17.2614,27.4618,63.39,2.95
277,Bima,ID,1626042418,94,7,-8.4667,118.7167,71.8,4.05
278,Eganville,CA,1626042418,52,100,45.5334,-77.0994,78.13,3.6
